Frame, Time_s             , Gust_Factor       , Drag_kN           , Lift_kN            , Moment_kNm        , C_D                , C_L                 , C_M
   27,  1.08              , 0.8727304907100369, 1336.4393199558017, -1509.9970026418944, 116055.47502778508, 0.11919866950475026, -0.13467849305498375, 0.05750628224270866
   28,  1.12              , 0.9020284388199881, 1381.3041783112235, -1560.6882690758093, 119951.50859305385, 0.12320022149714616, -0.13919970956231706, 0.059436793541531675
   29,  1.16              , 0.9404957934079848, 1440.21043373981  , -1627.244429019506 , 125066.88746120832, 0.12845414299417807, -0.14513593546810408, 0.06197149878400345
   30,  1.2               , 0.9925292375647868, 1519.8908636825047, -1717.2726170457797, 131986.28141298416, 0.1355609387109112 , -0.15316566047725017, 0.06540010584837545
   31,  1.24              , 1.0600775433835128, 1623.3296834023236, -1834.144595744302 , 140968.83765750861, 0.14478677448335162, -0.1635896162493028 , 0.06985102395055856
   32,  1.28              , 1.1407425573922552, 1746.8545259666778, -1973.711083529288 , 151695.65036608157, 0.1558041073802479 , -0.17603772324751019, 0.07516623306961294
   33,  1.32              , 1.2265590925271401, 1878.2680529116574, -2122.1907255380866, 163107.51102218725, 0.16752504175629296, -0.18928080545237655, 0.0808208881356265
   34,  1.36              , 1.30415863292991  , 1997.0986404855903, -2256.4533354295313, 173426.67784315426, 0.17812368826704433, -0.20125585304662483, 0.08593410592715293
   35,  1.4000000000000001, 1.3570084427771383, 2078.029196578067 , -2347.893998164464 , 180454.6318933881 , 0.18534198427529244, -0.2094115584152734 , 0.08941650526337364
   36,  1.44              , 1.3697386045042625, 2097.523288812296 , -2369.9197051332503, 182147.485508735  , 0.18708068637932798, -0.21137605835655593, 0.0902553258168755
   37,  1.48              , 1.3333495369247022, 2041.799578861143 , -2306.959394293915 , 177308.47670966326, 0.18211062003447837, -0.20576055066264695, 0.08785756383530807
   38,  1.52              , 1.2491114369854155, 1912.8031587800285, -2161.210758523112 , 166106.5159577957 , 0.17060527039761403, -0.1927610502688792 , 0.08230691560854915
